,Turkish,English
0,bir,a
1,bu,this
2,ne,What
3,ve,and
4,için,for  
5,mi,mi
6,de,also
7,o,He
8,ben,I
9,çok,lots
10,ama,but
11,evet,Yeah
12,var,there is
13,da,in
14,mı,is it
15,değil,not
16,şey,thing
17,hayır,no  
18,daha,more    
19,sen,joyful
20,kadar,until
21,bana,to me
22,gibi,as
23,yok,none 
24,bunu,this
25,onu,him-her-it
26,iyi,good
27,tamam,Ok
28,beni,me  
29,seni,you
30,her,each
31,benim,mine  
32,sana,to you   
33,ki,that
34,ya,or
35,neden,Why?
36,zaman,time
37,sadece,Only
38,senin,your
39,burada,here
40,olduğunu,that
41,nasıl,How
42,hiç,none
43,sonra,Then
44,şimdi,now
45,en,most
46,öyle,so 
47,mu,is it
48,şu,this
49,misin,will you
50,önce,before
51,biraz,a little
52,hadi,let's
53,güzel,beautiful
54,musun,are you
55,oldu,happened
56,yani,well
57,böyle,like this
58,ona,him
59,İyi,Good   
60,lütfen,please   
61,onun,her
62,bile,even    
63,bak,look
64,çünkü,because
65,peki,alright
66,eğer,if
67,artık,Now
68,gerçekten,really
69,geri,back
70,biliyorum,I know
71,istiyorum,I want 
72,kim,who
73,olarak,aspect
74,başka,other
75,belki,maybe
76,tek,only
77,doğru,TRUE
78,büyük,large
79,olan,the one which...
80,biri,somebody
81,olur,It is possible
82,buraya,here
83,bay,Mr
84,in,of
85,olacak,will be
86,adam,man
87,ile,with
88,hiçbir,no
89,biz,we
90,yardım,help
91,demek,means
92,hey,Hey
93,sanırım,I guess
94,ın,of
95,bilmiyorum,I do not know
96,bunun,this
97,tüm,all
98,teşekkürler,thanks 
99,fazla,more
100,yeni,new
101,gün,day
102,ederim,thank you
103,nerede,where
104,tanrım,God
105,a,A
106,şeyi,thing
107,merhaba,Hello there
108,efendim,sir
109,orada,there
110,son,end
111,kötü,bad
112,şeyler,things
113,gece,night
114,biliyor,he knows
115,sorun,problem
116,iki,two
117,harika,Wonderful
118,gerek,necessary
119,et,meat
120,tam,full
121,İşte,Request
122,bütün,all
123,diye,saying
124,hemen,now
125,siz,you 
126,üzgünüm,I am sad
127,ol,die
128,olabilir,it could be
129,i,I
130,olsun,never mind
131,küçük,small
132,size,to you
133,yüzden,so
134,bayan,Lady
135,aynı,same
136,teşekkür,thanks 
137,hakkında,about
138,tabii,of course
139,gel,come
140,onları,them
141,kendi,own
142,kız,girl
143,nin,n
144,devam,continue
145,bize,to us
146,e,to
147,oluyor,is happening
148,ver,give
149,izin,permission
150,iş,work
151,bizi,we
152,buna,this
153,anne,mom
154,selam,high school
155,vardı,there
156,geldi,came
157,bizim,ours
158,sizi,you
159,dur,Stop
160,kimse,noone
161,göre,by
162,asla,never
163,özür,apology
164,seninle,with you
165,baba,father
166,değilim,I am not
167,aslında,actually
168,önemli,important
169,tekrar,again
170,git,go
171,nın,nin
172,yoksa,or?
173,hala,still
174,işte,Request
175,oh,oh
176,benimle,with me
177,içinde,inside
178,mısın,will you
179,yine,still
180,mü,is it
181,bence,in my opinion
182,şekilde,in the way
183,olmak,be
184,bugün,today
185,söyle,say
186,birlikte,together
187,olmaz,it is not possible
188,pekala,ok
189,uzun,long
190,lazım,required
191,biliyorsun,you know
192,zaten,already
193,para,money
194,ilk,first
195,geliyor,coming
196,onunla,with him
197,gerçek,real
198,dostum,mate
199,al,get
200,bakalım,let's see
201,onlar,them
202,haydi,lets
203,birkaç,a few 
204,emin,sure
205,üç,three
206,herkes,everyone
207,dakika,minute
208,ı,I
209,söyledi,told
210,istiyorsun,you want
211,pek,much
212,ister,whether...or
213,saat,hour
214,yapıyorsun,you do
215,eve,home
216,yıl,year
217,miyim,am I
218,çocuk,child
219,yer,Location
220,hep,always
221,şunu,that
222,neler,what
223,dilerim,I wish
224,bekle,wait
225,sizin,yours
226,bırak,leave
227,olduğu,is
228,ilgili,relating to
229,gidelim,lets go
230,yere,to the ground
231,etmek,to make
232,an,moment
233,dan,from
234,nedir,why
235,un,Fame
236,nereye,to where?
237,hepsi,all
238,istemiyorum,I don't want
239,olmalı,must be
240,buradan,from here
241,lanet,curse
242,karşı,against
243,kaç,how much
244,az,little
245,burası,here
246,hazır,ready
247,fakat,but
248,eski,old
249,çocuklar,Children
250,kendini,self
251,ediyorum,I'm
252,gerekiyor,needed
253,benden,from me
254,yapmak,to do
255,kadın,woman
256,söz,promise
257,kesinlikle,definitely
258,zor,hard
259,işe,if
260,anda,at the moment
261,tane,piece
262,diğer,other
263,dinle,listen
264,bunlar,these
265,işi,heat
266,kişi,person
267,görmek,to see
268,kabul,accept
269,niye,why
270,istiyor,wants
271,seviyorum,I like
272,aman,Oh
273,sağ,right
274,zorunda,must
275,misiniz,Are you
276,tanrı,God
277,yarın,tomorrow
278,kez,times
279,bundan,from this
280,İki,Two
281,elbette,of course
282,falan,like
283,gidip,go and go
284,hem,both
285,yanlış,false
286,onlara,to them
287,senden,from you
288,hoş,pleasant
289,doktor,doctor
290,tatlım,sweetie
291,yapma,don't do that
292,özel,special
293,yemek,food
294,hafta,week
295,kontrol,control
296,ediyor,in
297,gereken,required
298,yerde,on the ground
299,oraya,there
300,hâlâ,still
301,geç,late
302,dedim,I said
303,mutlu,happy
304,ye,eat
305,bazı,Some
306,birini,one
307,ayrıca,Moreover
308,ondan,from him
309,eminim,I am sure
310,nereden,Where from
